Sector,Pressure,Ecological Characteristic,Overlap,Frequency,DoI,Resilience,Persistence
Aquaculture,Changes in siltation/ Smothering,Oceanic Pelagic,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Marine Mammals,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Pelagic Fish,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Demersal Fish,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Deep-sea Fish,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Demersal Elasmobranchs,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Reptiles,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Marine birds,NO,,,,
Aquaculture,Changes in siltation/ Smothering,Cephalopods,NO,,,,
Aquaculture,Abrasion,Littoral rock & reef,NO,,,,
Aquaculture,Abrasion, Littoral sediment,NO,,,,
Aquaculture,Abrasion,Mangroves,NO,,,,
Aquaculture,Abrasion,Saltmarshes,NO,,,,
Aquaculture,Abrasion,Shallow rock & reef,NO,,,,
Aquaculture,Abrasion,Shallow sediment,NO,,,,
Aquaculture,Abrasion,Shelf rock & reef,NO,,,,
Aquaculture,Abrasion,Shelf sediment,NO,,,,
Aquaculture,Abrasion,Slope rock & reef,NO,,,,
Aquaculture,Abrasion,Slope sediment,NO,,,,
Aquaculture,Abrasion,Deep Sea rock & reef,NO,,,,
Aquaculture,Abrasion,Deep Sea Sediment,NO,,,,
Aquaculture,Abrasion,Coastal Pelagic,NO,,,,
Aquaculture,Abrasion,Shelf Pelagic,NO,,,,
Aquaculture,Abrasion,Oceanic Pelagic,NO,,,,
Aquaculture,Abrasion,Marine Mammals,NO,,,,
Aquaculture,Abrasion,Pelagic Fish,NO,,,,
Aquaculture,Abrasion,Demersal Fish,NO,,,,
Aquaculture,Abrasion,Deep-sea Fish,NO,,,,
Aquaculture,Abrasion,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Abrasion,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Abrasion,Demersal Elasmobranchs,NO,,,,
Aquaculture,Abrasion,Reptiles,NO,,,,
Aquaculture,Abrasion,Marine birds,NO,,,,
Aquaculture,Abrasion,Cephalopods,NO,,,,
Aquaculture,Non-living Resources,Littoral rock & reef,NO,,,,
Aquaculture,Non-living Resources,Littoral sediment,NO,,,,
Aquaculture,Non-living Resources,Mangroves,NO,,,,
Aquaculture,Non-living Resources,Saltmarshes,NO,,,,
Aquaculture,Non-living Resources,Shallow rock & reef,NO,,,,
Aquaculture,Non-living Resources,Shallow sediment,NO,,,,
Aquaculture,Non-living Resources,Shelf rock & reef,NO,,,,
Aquaculture,Non-living Resources,Shelf sediment,NO,,,,
Aquaculture,Non-living Resources,Slope rock & reef,NO,,,,
Aquaculture,Non-living Resources,Slope sediment,NO,,,,
Aquaculture,Non-living Resources,Deep Sea rock & reef,NO,,,,
Aquaculture,Non-living Resources,Deep Sea Sediment,NO,,,,
Aquaculture,Non-living Resources,Coastal Pelagic,NO,,,,
Aquaculture,Non-living Resources,Shelf Pelagic,NO,,,,
Aquaculture,Non-living Resources,Oceanic Pelagic,NO,,,,
Aquaculture,Non-living Resources,Marine Mammals,NO,,,,
Aquaculture,Non-living Resources,Pelagic Fish,NO,,,,
Aquaculture,Non-living Resources,Demersal Fish,NO,,,,
Aquaculture,Non-living Resources,Deep-sea Fish,NO,,,,
Aquaculture,Non-living Resources,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Non-living Resources,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Non-living Resources,Demersal Elasmobranchs,NO,,,,
Aquaculture,Non-living Resources,Reptiles,NO,,,,
Aquaculture,Non-living Resources,Marine birds,NO,,,,
Aquaculture,Non-living Resources,Cephalopods,NO,,,,
Aquaculture,Noise,Littoral rock & reef,NO,,,,
Aquaculture,Noise,Littoral sediment,NO,,,,
Aquaculture,Noise,Mangroves,NO,,,,
Aquaculture,Noise,Saltmarshes,NO,,,,
Aquaculture,Noise,Shallow rock & reef,NO,,,,
Aquaculture,Noise,Shallow sediment,NO,,,,
Aquaculture,Noise,Shelf rock & reef,NO,,,,
Aquaculture,Noise,Shelf sediment,NO,,,,
Aquaculture,Noise,Slope rock & reef,NO,,,,
Aquaculture,Noise,Slope sediment,NO,,,,
Aquaculture,Noise,Deep Sea rock & reef,NO,,,,
Aquaculture,Noise,Deep Sea Sediment,NO,,,,
Aquaculture,Noise,Coastal Pelagic,NO,,,,
Aquaculture,Noise,Shelf Pelagic,NO,,,,
Aquaculture,Noise,Oceanic Pelagic,NO,,,,
Aquaculture,Noise,Marine Mammals,NO,,,,
Aquaculture,Noise,Pelagic Fish,NO,,,,
Aquaculture,Noise,Demersal Fish,NO,,,,
Aquaculture,Noise,Deep-sea Fish,NO,,,,
Aquaculture,Noise,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Noise,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Noise,Demersal Elasmobranchs,NO,,,,
Aquaculture,Noise,Reptiles,NO,,,,
Aquaculture,Noise,Marine birds,NO,,,,
Aquaculture,Noise,Cephalopods,NO,,,,
Aquaculture,Litter,Littoral rock & reef,S,P,L,,
Aquaculture,Litter,Littoral sediment,S,P,L,,
Aquaculture,Litter,Mangroves,S,P,L,,
Aquaculture,Litter,Saltmarshes,S,P,L,,
Aquaculture,Litter,Shallow rock & reef,S,P,L,,
Aquaculture,Litter,Shallow sediment,S,P,L,,
Aquaculture,Litter,Shelf rock & reef,NO,,,,
Aquaculture,Litter,Shelf sediment,NO,,,,
Aquaculture,Litter,Slope rock & reef,NO,,,,
Aquaculture,Litter,Slope sediment,NO,,,,
Aquaculture,Litter,Deep Sea rock & reef,NO,,,,
Aquaculture,Litter,Deep Sea Sediment,NO,,,,
Aquaculture,Litter,Coastal Pelagic,S,P,L,,
Aquaculture,Litter,Shelf Pelagic,S,P,L,,
Aquaculture,Litter,Oceanic Pelagic,NO,,,,
Aquaculture,Litter,Marine Mammals,S,P,L,,
Aquaculture,Litter,Pelagic Fish,S,P,L,,
Aquaculture,Litter,Demersal Fish,S,P,L,,
Aquaculture,Litter,Deep-sea Fish,NO,,,,
Aquaculture,Litter,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Litter,Pelagic Elasmobranchs,S,P,L,,
Aquaculture,Litter,Demersal Elasmobranchs,S,P,L,,
Aquaculture,Litter,Reptiles,S,P,L,,
Aquaculture,Litter,Marine birds,S,P,L,,
Aquaculture,Litter,Cephalopods,S,P,L,,
Aquaculture,Thermal Regime,Littoral rock & reef,NO,,,,
Aquaculture,Thermal Regime,Littoral sediment,NO,,,,
Aquaculture,Thermal Regime,Mangroves,NO,,,,
Aquaculture,Thermal Regime,Saltmarshes,NO,,,,
Aquaculture,Thermal Regime,Shallow rock & reef,NO,,,,
Aquaculture,Thermal Regime,Shallow sediment,NO,,,,
Aquaculture,Thermal Regime,Shelf rock & reef,NO,,,,
Aquaculture,Thermal Regime,Shelf sediment,NO,,,,
Aquaculture,Thermal Regime,Slope rock & reef,NO,,,,
Aquaculture,Thermal Regime,Slope sediment,NO,,,,
Aquaculture,Thermal Regime,Deep Sea rock & reef,NO,,,,
Aquaculture,Thermal Regime,Deep Sea Sediment,NO,,,,
Aquaculture,Thermal Regime,Coastal Pelagic,NO,,,,
Aquaculture,Thermal Regime,Shelf Pelagic,NO,,,,
Aquaculture,Thermal Regime,Oceanic Pelagic,NO,,,,
Aquaculture,Thermal Regime,Marine Mammals,NO,,,,
Aquaculture,Thermal Regime,Pelagic Fish,NO,,,,
Aquaculture,Thermal Regime,Demersal Fish,NO,,,,
Aquaculture,Thermal Regime,Deep-sea Fish,NO,,,,
Aquaculture,Thermal Regime,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Thermal Regime,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Thermal Regime,Demersal Elasmobranchs,NO,,,,
Aquaculture,Thermal Regime,Reptiles,NO,,,,
Aquaculture,Thermal Regime,Marine birds,NO,,,,
Aquaculture,Thermal Regime,Cephalopods,NO,,,,
Aquaculture,Salinity Regime,Littoral rock & reef,NO,,,,
Aquaculture,Salinity Regime,Littoral sediment,NO,,,,
Aquaculture,Salinity Regime,Mangroves,NO,,,,
Aquaculture,Salinity Regime,Saltmarshes,NO,,,,
Aquaculture,Salinity Regime,Shallow rock & reef,NO,,,,
Aquaculture,Salinity Regime,Shallow sediment,NO,,,,
Aquaculture,Salinity Regime,Shelf rock & reef,NO,,,,
Aquaculture,Salinity Regime,Shelf sediment,NO,,,,
Aquaculture,Salinity Regime,Slope rock & reef,NO,,,,
Aquaculture,Salinity Regime, Slope sediment,NO,,,,
Aquaculture,Salinity Regime,Deep Sea rock & reef,NO,,,,
Aquaculture,Salinity Regime,Deep Sea Sediment,NO,,,,
Aquaculture,Salinity Regime,Coastal Pelagic,NO,,,,
Aquaculture,Salinity Regime,Shelf Pelagic,NO,,,,
Aquaculture,Salinity Regime,Oceanic Pelagic,NO,,,,
Aquaculture,Salinity Regime,Marine Mammals,NO,,,,
Aquaculture,Salinity Regime,Pelagic Fish,NO,,,,
Aquaculture,Salinity Regime,Demersal Fish,NO,,,,
Aquaculture,Salinity Regime,Deep-sea Fish,NO,,,,
Aquaculture,Salinity Regime,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Salinity Regime,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Salinity Regime,Demersal Elasmobranchs,NO,,,,
Aquaculture,Salinity Regime,Reptiles,NO,,,,
Aquaculture,Salinity Regime,Marine birds,NO,,,,
Aquaculture,Salinity Regime,Cephalopods,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Littoral rock & reef,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Littoral sediment,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Mangroves,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Saltmarshes,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Shallow rock & reef,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Shallow sediment,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Shelf rock & reef,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Shelf sediment,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Slope rock & reef,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Slope sediment,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Deep Sea rock & reef,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Deep Sea Sediment,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Coastal Pelagic,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Shelf Pelagic,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Oceanic Pelagic,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Marine Mammals,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Pelagic Fish,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Demersal Fish,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Deep-sea Fish,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Demersal Elasmobranchs,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Reptiles,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Marine birds,NO,,,,
Aquaculture,Introduction of Contaminating compounds,Cephalopods,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Littoral rock & reef,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Littoral sediment,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Mangroves,S,P,L,,
Aquaculture,Input of Organic Matter (including N&P),Saltmarshes,S,P,L,,
Aquaculture,Input of Organic Matter (including N&P),Shallow rock & reef,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Shallow sediment,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Shelf rock & reef,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Shelf sediment,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Slope rock & reef,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Slope sediment,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Deep Sea rock & reef,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Deep Sea Sediment,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Coastal Pelagic,S,P,L,,
Aquaculture,Input of Organic Matter (including N&P),Shelf Pelagic,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Oceanic Pelagic,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Marine Mammals,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Pelagic Fish,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Demersal Fish,S,P,L,,
Aquaculture,Input of Organic Matter (including N&P),Deep-sea Fish,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Pelagic Elasmobranchs,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Demersal Elasmobranchs,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Reptiles,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Marine birds,NO,,,,
Aquaculture,Input of Organic Matter (including N&P),Cephalopods,NO,,,,
Aquaculture,Invasive species,Littoral rock & reef,NO,,,,
Aquaculture,Invasive species,Littoral sediment,NO,,,,
Aquaculture,Invasive species,Mangroves,NO,,,,
Aquaculture,Invasive species,Saltmarshes,NO,,,,
Aquaculture,Invasive species,Shallow rock & reef,NO,,,,
Aquaculture,Invasive species,Shallow sediment,NO,,,,
Aquaculture,Invasive species,Shelf rock & reef,NO,,,,
Aquaculture,Invasive species,Shelf sediment,NO,,,,
Aquaculture,Invasive species,Slope rock & reef,NO,,,,
Aquaculture,Invasive species,Slope sediment,NO,,,,
Aquaculture,Invasive species,Deep Sea rock & reef,NO,,,,
Aquaculture,Invasive species,Deep Sea Sediment,NO,,,,
Aquaculture,Invasive species,Coastal Pelagic,NO,,,,
Aquaculture,Invasive species,Shelf Pelagic,NO,,,,
Aquaculture,Invasive species,Oceanic Pelagic,NO,,,,
Aquaculture,Invasive species,Marine Mammals,NO,,,,
Aquaculture,Invasive species,Pelagic Fish,NO,,,,
Aquaculture,Invasive species,Demersal Fish,NO,,,,
Aquaculture,Invasive species,Deep-sea Fish,NO,,,,
Aquaculture,Invasive species,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Invasive species,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Invasive species,Demersal Elasmobranchs,NO,,,,
Aquaculture,Invasive species,Reptiles,NO,,,,
Aquaculture,Invasive species,Marine birds,NO,,,,
Aquaculture,Invasive species,Cephalopods,NO,,,,
Aquaculture,Species Extraction,Littoral rock & reef,S,C,L,,
Aquaculture,Species Extraction,Littoral sediment,NO,,,,
Aquaculture,Species Extraction,Mangroves,NO,,,,
Aquaculture,Species Extraction,Saltmarshes,NO,,,,
Aquaculture,Species Extraction,Shallow rock & reef,NO,,,,
Aquaculture,Species Extraction,Shallow sediment,NO,,,,
Aquaculture,Species Extraction,Shelf rock & reef,NO,,,,
Aquaculture,Species Extraction,Shelf sediment,NO,,,,
Aquaculture,Species Extraction,Slope rock & reef,NO,,,,
Aquaculture,Species Extraction,Slope sediment,NO,,,,
Aquaculture,Species Extraction,Deep Sea rock & reef,NO,,,,
Aquaculture,Species Extraction,Deep Sea Sediment,NO,,,,
Aquaculture,Species Extraction,Coastal Pelagic,NO,,,,
Aquaculture,Species Extraction,Shelf Pelagic,NO,,,,
Aquaculture,Species Extraction,Oceanic Pelagic,NO,,,,
Aquaculture,Species Extraction,Marine Mammals,NO,,,,
Aquaculture,Species Extraction,Pelagic Fish,NO,,,,
Aquaculture,Species Extraction,Demersal Fish,NO,,,,
Aquaculture,Species Extraction,Deep-sea Fish,NO,,,,
Aquaculture,Species Extraction,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Species Extraction,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Species Extraction,Demersal Elasmobranchs,NO,,,,
Aquaculture,Species Extraction,Reptiles,NO,,,,
Aquaculture,Species Extraction,Marine birds,NO,,,,
Aquaculture,Species Extraction,Cephalopods,NO,,,,
Aquaculture,Bycatch,Littoral rock & reef,NO,,,,
Aquaculture,Bycatch,Littoral sediment,NO,,,,
Aquaculture,Bycatch,Mangroves,NO,,,,
Aquaculture,Bycatch,Saltmarshes,NO,,,,
Aquaculture,Bycatch,Shallow rock & reef,NO,,,,
Aquaculture,Bycatch,Shallow sediment,NO,,,,
Aquaculture,Bycatch,Shelf rock & reef,NO,,,,
Aquaculture,Bycatch,Shelf sediment,NO,,,,
Aquaculture,Bycatch,Slope rock & reef,NO,,,,
Aquaculture,Bycatch,Slope sediment,NO,,,,
Aquaculture,Bycatch,Deep Sea rock & reef,NO,,,,
Aquaculture,Bycatch,Deep Sea Sediment,NO,,,,
Aquaculture,Bycatch,Coastal Pelagic,NO,,,,
Aquaculture,Bycatch,Shelf Pelagic,NO,,,,
Aquaculture,Bycatch,Oceanic Pelagic,NO,,,,
Aquaculture,Bycatch,Marine Mammals,NO,,,,
Aquaculture,Bycatch,Pelagic Fish,NO,,,,
Aquaculture,Bycatch,Demersal Fish,NO,,,,
Aquaculture,Bycatch,Deep-sea Fish,NO,,,,
Aquaculture,Bycatch,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Bycatch,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Bycatch,Demersal Elasmobranchs,NO,,,,
Aquaculture,Bycatch,Reptiles,NO,,,,
Aquaculture,Bycatch,Marine birds,NO,,,,
Aquaculture,Bycatch,Cephalopods,NO,,,,
Aquaculture,Incidental Loss of spp.,Littoral rock & reef,NO,,,,
Aquaculture,Incidental Loss of spp., Littoral sediment,NO,,,,
Aquaculture,Incidental Loss of spp.,Mangroves,NO,,,,
Aquaculture,Incidental Loss of spp.,Saltmarshes,NO,,,,
Aquaculture,Incidental Loss of spp.,Shallow rock & reef,NO,,,,
Aquaculture,Incidental Loss of spp.,Shallow sediment,NO,,,,
Aquaculture,Incidental Loss of spp.,Shelf rock & reef,NO,,,,
Aquaculture,Incidental Loss of spp.,Shelf sediment,NO,,,,
Aquaculture,Incidental Loss of spp.,Slope rock & reef,NO,,,,
Aquaculture,Incidental Loss of spp.,Slope sediment,NO,,,,
Aquaculture,Incidental Loss of spp.,Deep Sea rock & reef,NO,,,,
Aquaculture,Incidental Loss of spp.,Deep Sea Sediment,NO,,,,
Aquaculture,Incidental Loss of spp.,Coastal Pelagic,NO,,,,
Aquaculture,Incidental Loss of spp.,Shelf Pelagic,NO,,,,
Aquaculture,Incidental Loss of spp.,Oceanic Pelagic,NO,,,,
Aquaculture,Incidental Loss of spp.,Marine Mammals,NO,,,,
Aquaculture,Incidental Loss of spp.,Pelagic Fish,NO,,,,
Aquaculture,Incidental Loss of spp.,Demersal Fish,NO,,,,
Aquaculture,Incidental Loss of spp.,Deep-sea Fish,NO,,,,
Aquaculture,Incidental Loss of spp.,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Incidental Loss of spp.,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Incidental Loss of spp.,Demersal Elasmobranchs,NO,,,,
Aquaculture,Incidental Loss of spp.,Reptiles,NO,,,,
Aquaculture,Incidental Loss of spp.,Marine birds,NO,,,,
Aquaculture,Incidental Loss of spp.,Cephalopods,NO,,,,
Aquaculture,Barriers,Littoral rock & reef,NO,,,,
Aquaculture,Barriers,Littoral sediment,NO,,,,
Aquaculture,Barriers, Mangroves,NO,,,,
Aquaculture,Barriers, Saltmarshes,NO,,,,
Aquaculture,Barriers,Shallow rock & reef,NO,,,,
Aquaculture,Barriers,Shallow sediment,NO,,,,
Aquaculture,Barriers,Shelf rock & reef,NO,,,,
Aquaculture,Barriers,Shelf sediment,NO,,,,
Aquaculture,Barriers,Slope rock & reef,NO,,,,
Aquaculture,Barriers,Slope sediment,NO,,,,
Aquaculture,Barriers,Deep Sea rock & reef,NO,,,,
Aquaculture,Barriers,Deep Sea Sediment,NO,,,,
Aquaculture,Barriers,Coastal Pelagic,NO,,,,
Aquaculture,Barriers,Shelf Pelagic,NO,,,,
Aquaculture,Barriers,Oceanic Pelagic,NO,,,,
Aquaculture,Barriers,Marine Mammals,NO,,,,
Aquaculture,Barriers,Pelagic Fish,NO,,,,
Aquaculture,Barriers,Demersal Fish,NO,,,,
Aquaculture,Barriers,Deep-sea Fish,NO,,,,
Aquaculture,Barriers,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Barriers,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Barriers,Demersal Elasmobranchs,NO,,,,
Aquaculture,Barriers,Reptiles,NO,,,,
Aquaculture,Barriers,Marine birds,NO,,,,
Aquaculture,Barriers,Cephalopods,NO,,,,
Aquaculture,Change in wave exposure,Littoral rock & reef,NO,,,,
Aquaculture,Change in wave exposure,Littoral sediment,NO,,,,
Aquaculture,Change in wave exposure,Mangroves,NO,,,,
Aquaculture,Change in wave exposure,Saltmarshes,NO,,,,
Aquaculture,Change in wave exposure,Shallow rock & reef,NO,,,,
Aquaculture,Change in wave exposure,Shallow sediment,NO,,,,
Aquaculture,Change in wave exposure,Shelf rock & reef,NO,,,,
Aquaculture,Change in wave exposure,Shelf sediment,NO,,,,
Aquaculture,Change in wave exposure,Slope rock & reef,NO,,,,
Aquaculture,Change in wave exposure,Slope sediment,NO,,,,
Aquaculture,Change in wave exposure,Deep Sea rock & reef,NO,,,,
Aquaculture,Change in wave exposure,Deep Sea Sediment,NO,,,,
Aquaculture,Change in wave exposure,Coastal Pelagic,NO,,,,
Aquaculture,Change in wave exposure,Shelf Pelagic,NO,,,,
Aquaculture,Change in wave exposure,Oceanic Pelagic,NO,,,,
Aquaculture,Change in wave exposure,Marine Mammals,NO,,,,
Aquaculture,Change in wave exposure,Pelagic Fish,NO,,,,
Aquaculture,Change in wave exposure, Demersal Fish,NO,,,,
Aquaculture,Change in wave exposure,Deep-sea Fish,NO,,,,
Aquaculture,Change in wave exposure,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Change in wave exposure,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Change in wave exposure,Demersal Elasmobranchs,NO,,,,
Aquaculture,Change in wave exposure, Reptiles,NO,,,,
Aquaculture,Change in wave exposure,Marine birds,NO,,,,
Aquaculture,Change in wave exposure,Cephalopods,NO,,,,
Aquaculture,Current Changes,Littoral rock & reef,NO,,,,
Aquaculture,Current Changes,Littoral sediment,NO,,,,
Aquaculture,Current Changes,Mangroves,NO,,,,
Aquaculture,Current Changes,Saltmarshes,NO,,,,
Aquaculture,Current Changes,Shallow rock & reef,NO,,,,
Aquaculture,Current Changes,Shallow sediment,NO,,,,
Aquaculture,Current Changes,Shelf rock & reef,NO,,,,
Aquaculture,Current Changes,Shelf sediment,NO,,,,
Aquaculture,Current Changes,Slope rock & reef,NO,,,,
Aquaculture,Current Changes,Slope sediment,NO,,,,
Aquaculture,Current Changes,Deep Sea rock & reef,NO,,,,
Aquaculture,Current Changes,Deep Sea Sediment,NO,,,,
Aquaculture,Current Changes,Coastal Pelagic,NO,,,,
Aquaculture,Current Changes,Shelf Pelagic,NO,,,,
Aquaculture,Current Changes,Oceanic Pelagic,NO,,,,
Aquaculture,Current Changes,Marine Mammals,NO,,,,
Aquaculture,Current Changes,Pelagic Fish,NO,,,,
Aquaculture,Current Changes,Demersal Fish,NO,,,,
Aquaculture,Current Changes,Deep-sea Fish,NO,,,,
Aquaculture,Current Changes,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Current Changes,Pelagic Elasmobranchs,NO,,,,
Aquaculture,Current Changes,Demersal Elasmobranchs,NO,,,,
Aquaculture,Current Changes,Reptiles,NO,,,,
Aquaculture,Current Changes, Marine birds,NO,,,,
Aquaculture,Current Changes,Cephalopods,NO,,,,
Aquaculture,pH changes,Littoral rock & reef,NO,,,,
Aquaculture,pH changes,Littoral sediment,NO,,,,
Aquaculture,pH changes,Mangroves,NO,,,,
Aquaculture,pH changes,Saltmarshes,NO,,,,
Aquaculture,pH changes,Shallow rock & reef,NO,,,,
Aquaculture,pH changes,Shallow sediment,NO,,,,
Aquaculture,pH changes,Shelf rock & reef,NO,,,,
Aquaculture,pH changes,Shelf sediment,NO,,,,
Aquaculture,pH changes,Slope rock & reef,NO,,,,
Aquaculture,pH changes,Slope sediment,NO,,,,
Aquaculture,pH changes,Deep Sea rock & reef,NO,,,,
Aquaculture,pH changes,Deep Sea Sediment,NO,,,,
Aquaculture,pH changes,Coastal Pelagic,NO,,,,
Aquaculture,pH changes,Shelf Pelagic,NO,,,,
Aquaculture,pH changes,Oceanic Pelagic,NO,,,,
Aquaculture,pH changes,Marine Mammals,NO,,,,
Aquaculture,pH changes,Pelagic Fish,NO,,,,
Aquaculture,pH changes,Demersal Fish,NO,,,,
Aquaculture,pH changes,Deep-sea Fish,NO,,,,
Aquaculture,pH changes,Deep-sea Elasmobranchs,NO,,,,
Aquaculture,pH changes,Pelagic Elasmobranchs,NO,,,,
Aquaculture,pH changes,Demersal Elasmobranchs,NO,,,,
Aquaculture,pH changes,Reptiles,NO,,,,
Aquaculture,pH changes,Marine birds,NO,,,,
Aquaculture,pH changes,Cephalopods,NO,,,,
Aquaculture,Electromagnetic (EMF),Littoral rock & reef,NO,,,,
Aquaculture,Electromagnetic (EMF),Littoral sediment,NO,,,,
Aquaculture,Electromagnetic (EMF),Mangroves,NO,,,,
Aquaculture,Electromagnetic (EMF),Saltmarshes,NO,,,,
Aquaculture,Electromagnetic (EMF),Shallow rock & reef,NO,,,,
Aquaculture,Electromagnetic (EMF),Shallow sediment,NO,,,,
Aquaculture,Electromagnetic (EMF),Shelf rock & reef,NO,,,,
Aquaculture,Electromagnetic (EMF),Shelf sediment,NO,,,,
Aquaculture,Electromagnetic (EMF),Slope rock & reef,NO,,,,
Aquaculture,Electromagnetic (EMF),Slope sediment,NO,,,,
Aquaculture,Electromagnetic (EMF),Deep Sea rock & reef,NO,,,,
Aquaculture,Electromagnetic (EMF), Deep Sea Sediment,NO,,,,
Aquaculture,Electromagnetic (EMF),Coastal Pelagic,NO,,,,
Aquaculture,Electromagnetic (EMF),Shelf Pelagic,NO,,,,
Aquaculture,Electromagnetic (EMF),Oceanic Pelagic,NO,,,,
Aquaculture,Electromagnetic (EMF),Marine Mammals,NO,,,,
Aquaculture,Electromagnetic (EMF),Pelagic Fish,NO,,,,
Aquaculture,Electromagnetic (EMF), Demersal Fish,NO,,,,
Aquaculture,Electromagnetic (EMF),Deep-sea Fish,NO,,,,
Aquaculture,Electromagnetic (EMF),Deep-sea Elasmobranchs,NO,,,,
Aquaculture,Electromagnetic (EMF),Pelagic Elasmobranchs,NO,,,,
Aquaculture,Electromagnetic (EMF),Demersal Elasmobranchs,NO,,,,
Aquaculture,Electromagnetic (EMF),Reptiles,NO,,,,
Aquaculture,Electromagnetic (EMF),Marine birds,NO,,,,
Aquaculture,Electromagnetic (EMF),Cephalopods,NO,,,,
Coastal Infrastructure,Sealing,Littoral rock & reef,S,P,C,,
Coastal Infrastructure,Sealing,Littoral sediment,S,P,C,,
Coastal Infrastructure,Sealing,Mangroves,L,P,C,,
Coastal Infrastructure,Sealing,Saltmarshes,S,P,C,,
Coastal Infrastructure,Sealing,Shallow rock & reef,S,P,C,,
Coastal Infrastructure,Sealing,Shallow sediment,S,P,C,,
